ISO,Year,AIR
BEL,2026,5.7
BEL,2027,5.7
BEL,2028,5.7
BEL,2029,5.7
BEL,2030,5.7
BEL,2031,5.7
BEL,2032,5.7
BEL,2033,5.7
BEL,2034,5.7
BEL,2035,5.7
BEL,2036,5.7
BEL,2037,5.7
BEL,2038,5.7
BEL,2039,5.7
BEL,2040,5.7
BEL,2041,5.7
BEL,2042,5.7
BEL,2043,5.7
BEL,2044,5.7
BEL,2045,5.7
BEL,2046,5.7
BEL,2047,5.7
BEL,2048,5.7
BEL,2049,5.7
BEL,2050,5.7
BEN,1990,17.2
BEN,1991,17.2
BEN,1992,17.2
BEN,1993,17.2
BEN,1994,17.2
BEN,1995,17.2
BEN,1996,17.2
BEN,1997,17.2
BEN,1998,17.2
BEN,1999,17.2
BEN,2000,17.2
BEN,2001,17.2
BEN,2002,17.2
BEN,2003,17.2
BEN,2004,17.2
BEN,2005,17.2
BEN,2006,17.2
BEN,2007,17.2
BEN,2008,9.3
BEN,2009,9.3
BEN,2010,9.3
BEN,2011,9.3
BEN,2012,9.3
BEN,2013,9.3
BEN,2014,9.3
BEN,2015,9.3
BEN,2016,9.3
BEN,2017,9.3
BEN,2018,9.3
BEN,2019,9.3
BEN,2020,9.3
BEN,2021,9.3
BEN,2022,9.3
BEN,2023,9.3
BEN,2024,9.3
BEN,2025,9.3
BEN,2026,9.3
BEN,2027,9.3
BEN,2028,9.3
BEN,2029,9.3
BEN,2030,9.3
BEN,2031,9.3
BEN,2032,9.3
BEN,2033,9.3
BEN,2034,9.3
BEN,2035,9.3
BEN,2036,9.3
BEN,2037,9.3
BEN,2038,9.3
BEN,2039,9.3
BEN,2040,9.3
BEN,2041,9.3
BEN,2042,9.3
BEN,2043,9.3
BEN,2044,9.3
BEN,2045,9.3
BEN,2046,9.3
BEN,2047,9.3
BEN,2048,9.3
BEN,2049,9.3
BEN,2050,9.3
BFA,1990,0.0
BFA,1991,0.0
BFA,1992,0.0
BFA,1993,0.0
BFA,1994,0.0
BFA,1995,0.0
BFA,1996,0.0
BFA,1997,0.0
BFA,1998,0.0
BFA,1999,0.0
BFA,2000,0.0
BFA,2001,0.0
BFA,2002,0.0
BFA,2003,0.0
BFA,2004,0.0
BFA,2005,0.0
BFA,2006,0.0
BFA,2007,0.0
BFA,2008,0.0
BFA,2009,0.0
BFA,2010,0.0
BFA,2011,0.0
BFA,2012,0.0
BFA,2013,0.0
BFA,2014,0.0
BFA,2015,0.0
BFA,2016,0.0
BFA,2017,0.0
BFA,2018,0.0
BFA,2019,0.0
BFA,2020,0.0
BFA,2021,0.0
BFA,2022,0.0
BFA,2023,0.0
BFA,2024,0.0
